Date,Company,Ticker,Sector,RSI,PE,ROC
2015-08-01,JP Morgan Chase & Co.,JPM,Financial,62.37277256066249,11.819431,
2015-09-01,JP Morgan Chase & Co.,JPM,Financial,57.02978252914438,11.819431,
2015-10-01,JP Morgan Chase & Co.,JPM,Financial,58.335933894180336,11.819431,
2015-11-01,JP Morgan Chase & Co.,JPM,Financial,60.55679659423017,11.819431,
2015-12-01,JP Morgan Chase & Co.,JPM,Financial,59.35313600762225,11.819431,
2016-01-01,JP Morgan Chase & Co.,JPM,Financial,50.99181276838738,11.819431,
2016-02-01,JP Morgan Chase & Co.,JPM,Financial,45.498767177670494,11.819431,
2016-03-01,JP Morgan Chase & Co.,JPM,Financial,57.90980098060992,11.819431,
2016-04-01,JP Morgan Chase & Co.,JPM,Financial,54.57652045586309,11.819431,
2016-05-01,JP Morgan Chase & Co.,JPM,Financial,58.34033260743941,11.819431,
2016-06-01,JP Morgan Chase & Co.,JPM,Financial,51.24418519496549,11.819431,
2016-07-01,JP Morgan Chase & Co.,JPM,Financial,49.98919108053104,11.819431,
2016-08-01,JP Morgan Chase & Co.,JPM,Financial,52.52281068524972,11.819431,
2016-09-01,JP Morgan Chase & Co.,JPM,Financial,50.53906923030383,11.819431,
2016-10-01,JP Morgan Chase & Co.,JPM,Financial,58.5950579269952,11.819431,
2016-11-01,JP Morgan Chase & Co.,JPM,Financial,71.9068854471262,11.819431,
2016-12-01,JP Morgan Chase & Co.,JPM,Financial,73.51255761231974,11.819431,
2017-01-01,JP Morgan Chase & Co.,JPM,Financial,69.63007573472035,11.819431,
2017-02-01,JP Morgan Chase & Co.,JPM,Financial,73.90160833351085,11.819431,
2017-03-01,JP Morgan Chase & Co.,JPM,Financial,78.85785196315672,11.819431,
2017-04-01,JP Morgan Chase & Co.,JPM,Financial,81.79073533980059,11.819431,
2017-05-01,JP Morgan Chase & Co.,JPM,Financial,73.94918109972153,11.819431,
2017-06-01,JP Morgan Chase & Co.,JPM,Financial,76.40231652868923,11.819431,
2017-07-01,JP Morgan Chase & Co.,JPM,Financial,75.51940220299852,11.819431,
2017-08-01,JP Morgan Chase & Co.,JPM,Financial,79.30424361607758,11.819431,
2017-09-01,JP Morgan Chase & Co.,JPM,Financial,80.37144633612246,11.819431,
2017-10-01,JP Morgan Chase & Co.,JPM,Financial,80.7791755240416,11.819431,
2017-11-01,JP Morgan Chase & Co.,JPM,Financial,83.42282915880544,11.819431,
2017-12-01,JP Morgan Chase & Co.,JPM,Financial,83.37500934608099,11.819431,
2018-01-01,JP Morgan Chase & Co.,JPM,Financial,82.66851682681988,11.819431,
2018-02-01,JP Morgan Chase & Co.,JPM,Financial,80.80082789626324,11.819431,
2018-03-01,JP Morgan Chase & Co.,JPM,Financial,75.06616670652102,11.819431,
2018-04-01,JP Morgan Chase & Co.,JPM,Financial,70.13542395797812,11.819431,
2018-05-01,JP Morgan Chase & Co.,JPM,Financial,72.28994553529722,11.819431,
2018-06-01,JP Morgan Chase & Co.,JPM,Financial,69.42616197425508,11.819431,
2018-07-01,JP Morgan Chase & Co.,JPM,Financial,80.4216300673239,11.819431,
2018-08-01,JP Morgan Chase & Co.,JPM,Financial,76.83153448029047,11.819431,
2018-09-01,JP Morgan Chase & Co.,JPM,Financial,73.92390975259399,11.819431,
2018-10-01,JP Morgan Chase & Co.,JPM,Financial,69.10727587199295,11.819431,
2018-11-01,JP Morgan Chase & Co.,JPM,Financial,68.15306771892936,11.819431,
2018-12-01,JP Morgan Chase & Co.,JPM,Financial,49.86062341604279,11.819431,
2019-01-01,JP Morgan Chase & Co.,JPM,Financial,51.08857644431952,11.819431,
2019-02-01,JP Morgan Chase & Co.,JPM,Financial,50.55209274686305,11.819431,
2019-03-01,JP Morgan Chase & Co.,JPM,Financial,39.90857475566086,11.819431,
2019-04-01,JP Morgan Chase & Co.,JPM,Financial,52.524152267573065,11.819431,
2019-05-01,JP Morgan Chase & Co.,JPM,Financial,49.70638058873354,11.819431,
2019-06-01,JP Morgan Chase & Co.,JPM,Financial,54.28628833981546,11.819431,
2019-07-01,JP Morgan Chase & Co.,JPM,Financial,57.50652320891759,11.819431,
2019-08-01,JP Morgan Chase & Co.,JPM,Financial,55.66804726169883,11.819431,
2019-09-01,JP Morgan Chase & Co.,JPM,Financial,54.24041486363014,11.819431,
2019-10-01,JP Morgan Chase & Co.,JPM,Financial,57.95213869104793,11.819431,
2019-11-01,JP Morgan Chase & Co.,JPM,Financial,62.60777428013482,11.819431,
2019-12-01,JP Morgan Chase & Co.,JPM,Financial,68.00729038963559,11.819431,
2020-01-01,JP Morgan Chase & Co.,JPM,Financial,62.297560904549165,11.819431,
2020-02-01,JP Morgan Chase & Co.,JPM,Financial,60.86654326337754,11.819431,
2020-03-01,JP Morgan Chase & Co.,JPM,Financial,46.02193064329383,11.819431,
2020-04-01,JP Morgan Chase & Co.,JPM,Financial,47.77246570137765,11.819431,
2020-05-01,JP Morgan Chase & Co.,JPM,Financial,49.99607803738355,11.819431,
2020-06-01,JP Morgan Chase & Co.,JPM,Financial,42.26626846932711,11.819431,
2020-07-01,JP Morgan Chase & Co.,JPM,Financial,47.1892093447063,11.819431,
2020-08-01,JP Morgan Chase & Co.,JPM,Financial,46.62417020303936,11.819431,
2020-09-01,JP Morgan Chase & Co.,JPM,Financial,42.82022685626789,11.819431,
2020-10-01,JP Morgan Chase & Co.,JPM,Financial,45.99667195774368,11.819431,
2020-11-01,JP Morgan Chase & Co.,JPM,Financial,52.29752956963232,11.819431,
