Date,JPM,GS,BAC,XOM,CVX,SLB,GE,CAT,MMM,JNJ,PFE,MRK,MSFT,INTC,CSCO,AMZN,HD,F,PG,KO,PEP,SPG,PSA,EQR,T,VZ,CMCSA,DD,SHW,DUK,SO,EXC
2/1/2018,94.32336426,227.9584808,26.9609642,62.21083069,91.84397125,59.92222977,73.28039551,138.2042389,160.4734039,112.9998245,25.98104286,45.4275856,87.85154724,40.41333389,33.34877777,72.54450226,168.4729767,7.630634308,71.36441803,37.90501404,97.07975769,109.9785385,145.7363892,47.37760544,16.43038559,36.76176071,35.54732513,93.08272552,130.3678741,58.1039772,33.27534866,21.33889771
3/1/2018,94.18474579,224.3658447,27.04521561,54.52497101,82.82014465,53.83327484,64.47390747,131.2847137,151.7602692,106.8847275,25.70495033,41.5710144,87.1122818,41.65948486,35.94986725,75.62249756,152.8500366,7.380218983,64.90079498,34.42434311,88.54997253,104.6422577,144.7536774,43.24041748,15.92584991,32.45804596,30.26496124,87.02655792,125.7851715,56.43039322,32.18205643,20.71747971
4/1/2018,89.67528534,214.9194641,25.36228752,53.71150208,84.38891602,53.12797546,61.59521484,125.1292648,141.4564819,105.4610443,25.12444496,42.12790298,84.78977203,44.01757431,34.43255615,72.36699677,150.322937,7.707145691,65.52898407,34.89697266,88.73288727,105.2148666,150.6946869,47.81745148,15.64067364,32.51244354,28.55988121,78.86858368,122.8220367,58.0257988,33.37786865,21.8193531
5/1/2018,89.15473175,203.3739471,25.30309296,55.9719696,92.58063507,56.22805405,64.29116821,123.1823273,125.26297,104.0949249,25.9173336,45.53092957,86.88002014,43.62877655,35.84233093,78.3065033,155.8554688,7.923341274,60.34601212,34.72020721,82.05862427,106.5714035,151.7399597,47.88728714,14.61802292,33.9748497,26.3858757,78.28676605,115.1605225,60.04065323,34.46902847,22.19410706
6/1/2018,87.70405579,193.4316559,24.65922737,59.07720184,92.78335571,56.31827545,64.33683014,129.6247253,127.9622345,99.17136383,25.68423271,46.04138565,92.22027588,46.92381287,34.56369781,81.48100281,158.2121887,8.141868591,61.03840256,34.55146408,82.24723053,110.6109467,159.3051453,49.65658188,14.44814968,32.81825256,26.20935631,79.83821869,119.0594711,58.4781456,34.0252533,23.34876633
7/1/2018,85.40100861,188.8843384,23.93744659,60.16072845,94.37326813,55.3741188,62.74120331,115.7671204,127.6313553,100.5973129,25.9344368,47.30908585,92.00569153,42.25693512,34.82266617,84.98999786,165.4634399,7.803502083,65.11763,35.55636215,89.31926727,117.4939499,172.1899567,49.85203171,14.35427475,34.63576126,27.5795002,82.09227753,127.9500732,59.93328857,35.09375381,24.03134346
8/1/2018,94.72356415,203.3224182,26.22166061,59.27353668,94.25383759,55.77890396,62.8334198,123.4568634,137.7526245,109.8661346,28.54359245,51.33854675,98.97537994,40.88833618,34.49055481,88.87200165,167.5158539,7.176926613,68.08240509,37.80194473,94.34843445,121.649971,165.3360901,51.21398163,14.58718586,35.96357346,30.25121498,85.64146423,138.3601379,61.85828018,36.82911682,23.97493744
9/1/2018,94.41866302,204.3222046,26.26411629,58.9004364,89.27185059,52.17707062,59.65254974,119.2070923,137.7615051,112.4093704,29.9329071,53.45849609,105.2101212,41.41922379,38.95987701,100.635498,171.1449585,6.776620388,69.82488251,36.13193893,91.89537048,127.801178,161.3512421,53.02991486,14.573493,37.86481094,31.27424431,87.8021698,143.3030396,62.27629852,33.60094833,24.85551071
10/1/2018,92.98480988,192.6630707,25.13679123,62.46369553,92.15062714,50.72817993,52.5422287,130.9174957,137.6243286,115.3136978,31.77128983,55.66730499,107.1208344,40.44425583,39.6775856,100.1500015,176.5835114,6.61220932,70.06056213,37.76374817,92.48177338,123.416153,154.4995575,52.27929688,15.32178402,37.18231964,29.93838692,80.51557922,143.186676,61.34106827,33.46279526,24.82707596
11/1/2018,90.46607971,193.6340027,23.46441841,58.54043579,84.13981628,42.725914,47.00411224,104.8208618,124.2675323,116.8326263,31.04314995,57.76248169,100.0400009,40.09360504,37.56469345,79.90049744,149.9276276,6.949295044,75.30784607,39.14545059,92.96155548,128.1433563,157.4419403,51.25359344,14.2756443,40.19968033,32.41996384,67.50740814,123.7662735,63.34183502,34.56032181,24.91237259
